inner_split_num,outer_split_num,auroc
1,1,0.5763620504562514
1,2,0.4938077059659116
1,3,0.5860236886632826
1,4,0.6228186386477845
1,5,0.5798794995778664
1,6,0.5605038742262785
1,7,0.5971998388396442
1,8,0.7069674439562939
1,9,0.5499157694279652
1,10,0.46785660941000734
1,11,0.5281869688385231
1,12,0.6703705133898444
1,13,0.5409240839704382
1,14,0.39448073890516017
1,15,0.45816691411722976
1,16,0.48948815961215636
1,17,0.6846968920139651
1,18,0.36598440545808936
1,19,0.6096557003645666
1,20,0.6816300302104725
1,21,0.636046000878487
1,22,0.6455381016042758
1,23,0.4501215400297973
1,24,0.5369282884403499
1,25,0.3826563986679337
1,26,0.6363516134720482
1,27,0.719996543380574
1,28,0.6177866785343413
1,29,0.4353768042967448
1,30,0.5825928971169412
2,1,0.5997314108001126
2,2,0.5064423585071857
2,3,0.4704402515723266
2,4,0.553368121442126
2,5,0.45235487404162006
2,6,0.6184574765050703
2,7,0.7976959871471865
2,8,0.6649082727587388
2,9,0.4699085551717139
2,10,0.4993696463111347
2,11,0.5514140777488621
2,12,0.453539173628359
2,13,0.6826718915880879
2,14,0.5764127626109428
2,15,0.7250829877969548
2,16,0.4896011777301935
2,17,0.5271252651730745
2,18,0.5299987368952869
2,19,0.31792107795957675
2,20,0.5719963721724257
2,21,0.6152214783565636
2,22,0.45221996844714896
2,23,0.6328167359479515
2,24,0.4400627033042276
2,25,0.47159155328798374
2,26,0.43307311722560665
2,27,0.4396997929606632
2,28,0.47495773967640664
2,29,0.4967791292719947
2,30,0.549848442395374
3,1,0.5204479921232161
3,2,0.5078888125763126
3,3,0.4107003348214324
3,4,0.5972671908726502
3,5,0.586929674099483
3,6,0.5767398049645376
3,7,0.60660218671152355
3,8,0.46786365316710576
3,9,0.46155945419103406
3,10,0.5729923400049396
3,11,0.4784998791242292
3,12,0.48853243281272
3,13,0.6537317339149384
3,14,0.4698604359416649
3,15,0.5956778750191942
3,16,0.4664848974462524
3,17,0.5763762633391681
3,18,0.42432153860094296
3,19,0.6246031746031756
3,20,0.5710235340460413
3,21,0.5771943247783607
3,22,0.48023361749202853
3,23,0.5616586538461542
3,24,0.28234615384615397
3,25,0.5744289452456369
3,26,0.5260098025583982
3,27,0.49340659340659415
3,28,0.5605215123859186
3,29,0.37719701738246253
3,30,0.5588022077601131
4,1,0.6764143653150045
4,2,0.5202004123461285
4,3,0.5115303729846032
4,4,0.7183363378830827
4,5,0.539432367149757
4,6,0.49724791734285423
4,7,0.4330024813895781
4,8,0.3172422815279959
4,9,0.46000442510509565
4,10,0.46844922260612065
4,11,0.5855078825463224
4,12,0.4456414425924821
4,13,0.4248658318425749
4,14,0.6480440713290492
4,15,0.30883386706240895
4,16,0.5947883875480933
4,17,0.532804987980773
4,18,0.5984085414987905
4,19,0.7066645442003627
4,20,0.5915201654601878
4,21,0.6191047531149029
4,22,0.4821135350692002
4,23,0.5515364749427552
4,24,0.5601373273975697
4,25,0.4983727182680051
4,26,0.5223823916918522
4,27,0.563072776280325
4,28,0.6056748005832354
4,29,0.4255898687608286
4,30,0.6315986595702726
5,1,0.5062132896471815
5,2,0.4100378787878789
5,3,0.5467495662855743
5,4,0.4973955855770149
5,5,0.5443423305144747
5,6,0.4721837616304829
5,7,0.5725120661916834
5,8,0.4427121907865507
5,9,0.6112452107279691
5,10,0.5952463018813696
5,11,0.47722457627118825
5,12,0.6778539459520685
5,13,0.59306947089509
5,14,0.581115030542889
5,15,0.6640006358014007
5,16,0.67492890560499
5,17,0.4608121150612431
5,18,0.6955186064924789
5,19,0.5486056338028219
5,20,0.3951231231231241
5,21,0.5930364477123222
5,22,0.5046440792689819
5,23,0.5402787951911072
5,24,0.48196278800732695
5,25,0.472283070130752
5,26,0.4754287131519264
5,27,0.423215472859108
5,28,0.4169860330437751
5,29,0.6206998094578194
5,30,0.5185453213824843
6,1,0.4650159077869916
6,2,0.3357142857142852
6,3,0.4946161976483022
6,4,0.6025718163627969
6,5,0.4560269613101643
6,6,0.5158923796791455
6,7,0.5285209737013684
6,8,0.6479553369475463
6,9,0.5983167902415688
6,10,0.495041382248692
6,11,0.5369374929861975
6,12,0.5730387152186945
6,13,0.45039491298527434
6,14,0.47782887402452656
6,15,0.3438029840623973
6,16,0.47540792540792565
6,17,0.4360959563542995
6,18,0.4951453235131076
6,19,0.6006161602016524
6,20,0.39490973186625056
6,21,0.5986552028218688
6,22,0.6502795899347639
6,23,0.41354756078911126
6,24,0.5536849222447608
6,25,0.5824716784651138
6,26,0.5516602091405248
6,27,0.5497900197628456
6,28,0.49481481481481704
6,29,0.6672505992992767
6,30,0.6192844410742259
7,1,0.5735277844377641
7,2,0.48456178587939885
7,3,0.5436700448579528
7,4,0.5400490584828747
7,5,0.5580726965342344
7,6,0.6054826782611558
7,7,0.5075266863502171
7,8,0.4439496105796866
7,9,0.5489597000937207
7,10,0.5463524130190812
7,11,0.3440723981900456
7,12,0.5171858731985333
7,13,0.5261777012890609
7,14,0.40366809116808955
7,15,0.4446494633061797
7,16,0.4866744186046519
7,17,0.4502345875093566
7,18,0.537322169531713
7,19,0.3683688174674408
7,20,0.4856083955271372
7,21,0.4636137170721371
7,22,0.3456603773584911
7,23,0.6718482252141982
7,24,0.5420262064557371
7,25,0.40117416829745584
7,26,0.5175045030293085
7,27,0.6128022195798647
7,28,0.5750561797752817
7,29,0.7075674019607843
7,30,0.6211679950950312
8,1,0.5473214285714287
8,2,0.5292678989426115
8,3,0.5680131208997172
8,4,0.5142064788348979
8,5,0.5848135100512385
8,6,0.4568275862068922
8,7,0.4723828926373364
8,8,0.517076248272548
8,9,0.5220236668834831
8,10,0.538208706175737
8,11,0.5508163265306113
8,12,0.4279906121094358
8,13,0.4649997372845742
8,14,0.5138610283948614
8,15,0.5486511231432214
8,16,0.6512926078409575
8,17,0.58592698687629
8,18,0.4552845528455287
8,19,0.6178684709177801
8,20,0.4895104895104903
8,21,0.4582808811959084
8,22,0.5982822776047088
8,23,0.4992115547226719
8,24,0.6507838366109557
8,25,0.598790665985352
8,26,0.5643621847214658
8,27,0.6648536493732713
8,28,0.5303882847301132
8,29,0.4921772299204792
8,30,0.5237015629411876
9,1,0.4173316406722279
9,2,0.2976426426426412
9,3,0.5733042985259248
9,4,0.5838260135135137
9,5,0.4184157789262736
9,6,0.7968912591050984
9,7,0.5469131949862196
9,8,0.5388960055898455
9,9,0.44396313196832377
9,10,0.5482829211229954
9,11,0.5862113520996758
9,12,0.5070764703391604
9,13,0.4743347504330034
9,14,0.6521160622522356
9,15,0.5265856380251575
9,16,0.44779067892275365
9,17,0.3635949441505009
9,18,0.6545713821282385
9,19,0.4711743772242006
9,20,0.46870765582655927
9,21,0.3898075415686867
9,22,0.5459492028179441
9,23,0.628274804905241
9,24,0.5087095348737706
9,25,0.5172612466715453
9,26,0.567268122823679
9,27,0.7510990826154392
9,28,0.4730260783553662
9,29,0.5725030427506459
9,30,0.416625672307492
10,1,0.5322179690249917
10,2,0.46782641896648647
10,3,0.4211684299222906
10,4,0.5096677559912876
10,5,0.5974219466293478
10,6,0.42825302092543505
10,7,0.5449610136452245
10,8,0.5911897329170994
10,9,0.5114605817658558
10,10,0.5588787679594319
10,11,0.4052086887296712
10,12,0.5467721707200389
10,13,0.5634291960982165
10,14,0.5331781305114642
10,15,0.39584293193717207
10,16,0.4840193408741789
10,17,0.5031347962382453
10,18,0.5021851078636044
10,19,0.5494030898876407
10,20,0.6546457454289736
10,21,0.4161078559027789
10,22,0.563308026627057
10,23,0.4261739417989394
10,24,0.6080897303863299
10,25,0.34779557946438966
10,26,0.4392428322953479
10,27,0.4317416436290501
10,28,0.5480829497071481
10,29,0.6451847965489106
10,30,0.4084536173208942
