id_obs,subid,text_length
1,2,1
2,2,2
3,2,8
4,2,18
5,2,11
6,2,5
7,2,10
8,2,4
9,2,21
10,2,2
11,2,3
12,2,14
13,2,7
14,2,17
15,2,1
16,2,15
17,2,5
18,2,9
19,2,14
20,2,14
21,2,28
22,2,5
23,2,9
24,2,16
25,2,1
26,2,7
27,2,25
28,2,13
29,2,1
30,2,1
31,2,11
32,2,11
33,2,17
34,2,13
35,2,7
36,2,15
37,2,5
38,2,11
39,2,10
40,2,15
41,2,1
42,2,4
43,2,11
44,2,10
45,2,6
46,2,15
47,2,19
48,2,3
49,2,6
50,2,7
51,2,10
52,2,9
53,2,1
54,2,12
55,2,16
56,2,14
57,2,1
58,2,10
59,2,22
60,2,14
61,2,2
62,2,4
63,2,13
64,2,4
65,2,5
66,2,3
67,2,4
68,2,14
69,2,13
70,2,1
71,2,22
72,2,14
73,2,4
74,2,19
75,2,7
76,2,4
77,2,11
78,2,6
79,2,3
80,2,7
81,2,18
82,2,6
83,2,8
84,2,7
85,2,3
86,2,7
87,2,3
88,2,1
89,2,6
90,2,1
91,2,20
92,2,1
93,2,4
94,2,6
95,2,6
96,2,8
97,2,13
98,2,2
99,2,1
100,2,9
101,2,8
102,2,10
103,2,13
104,2,10
105,2,7
106,2,5
107,2,24
108,2,21
109,2,11
110,2,3
111,2,8
112,2,22
113,2,9
114,2,33
115,2,2
116,2,20
117,2,1
118,2,1
119,2,24
120,2,10
121,2,12
122,2,5
123,2,4
124,2,2
125,2,12
126,2,13
127,2,17
128,2,10
129,2,5
130,2,9
131,2,8
132,2,2
133,2,1
134,2,10
135,2,14
136,2,6
137,2,11
138,2,29
139,2,6
140,2,16
141,2,4
142,2,8
143,2,22
144,2,16
145,2,4
146,2,4
147,2,35
148,2,18
149,2,25
150,2,6
151,2,3
152,2,17
153,2,5
154,2,9
155,2,3
156,2,8
157,2,16
158,2,7
159,2,26
160,2,10
161,2,13
162,2,13
163,2,11
164,2,1
165,2,11
166,2,6
167,2,5
168,2,4
169,2,12
170,2,11
171,2,31
172,2,2
173,2,2
174,2,15
175,2,5
176,2,3
177,2,7
178,2,5
179,2,16
180,2,18
181,2,2
182,2,1
183,2,10
184,2,16
185,2,5
186,2,6
187,2,5
188,2,13
189,2,10
190,2,5
191,2,7
192,2,12
193,2,3
194,2,13
195,2,4
196,2,5
197,2,6
198,2,7
199,2,2
200,2,5
201,2,11
202,2,7
203,2,8
204,2,1
205,2,9
206,2,1
207,2,20
208,2,7
209,2,1
210,2,3
211,2,9
212,2,17
213,2,3
214,2,1
215,2,20
216,2,1
217,2,8
218,2,6
219,2,9
220,2,1
221,2,1
222,2,8
223,2,1
224,2,4
225,2,1
226,2,29
227,2,27
228,2,1
229,2,12
230,2,4
231,2,19
232,2,2
233,2,4
234,2,3
235,2,5
236,2,9
237,2,12
238,2,6
239,2,8
240,2,2
241,2,5
242,2,7
243,2,3
244,2,1
245,2,1
246,2,7
247,2,13
248,2,3
249,2,7
250,2,11
251,2,3
252,2,10
253,2,6
254,2,3
255,2,7
256,2,1
257,2,3
258,2,7
259,2,5
260,2,2
261,2,11
262,2,1
263,2,3
264,2,19
265,2,18
266,2,5
267,2,4
268,2,8
269,2,12
270,2,5
271,2,9
272,2,8
273,2,3
274,2,2
275,2,1
276,2,3
277,2,2
278,2,9
279,2,6
280,2,2
281,2,4
282,2,25
283,2,2
284,2,10
285,2,11
286,2,7
287,2,4
288,2,5
289,2,3
290,2,8
291,2,1
292,2,12
293,2,13
294,2,3
295,2,18
296,2,19
297,2,5
298,2,16
299,2,10
300,2,1
301,2,1
302,2,6
303,2,5
304,2,2
305,2,5
306,2,1
307,2,11
308,2,3
309,2,1
310,2,3
311,2,3
312,2,1
313,2,6
314,2,1
315,2,25
316,2,24
317,2,1
318,2,1
319,2,3
320,2,6
321,2,1
322,2,3
323,2,7
324,2,7
325,2,11
326,2,19
327,2,1
328,2,4
329,2,4
330,2,1
331,2,2
332,2,8
333,2,6
334,2,3
335,2,10
336,2,9
337,2,1
338,2,4
339,2,10
340,2,4
341,2,1
342,2,2
343,2,9
344,2,3
345,2,1
346,2,13
347,2,1
348,2,7
349,2,1
350,2,1
351,2,3
352,2,1
353,2,3
354,2,2
355,2,21
356,2,29
357,2,34
358,2,4
359,2,30
360,2,5
361,2,1
362,2,9
363,2,12
364,2,34
365,2,31
366,2,19
367,2,19
368,2,27
369,2,31
370,2,23
371,2,14
372,2,10
373,2,7
374,2,10
375,2,4
376,2,2
377,2,5
378,2,7
379,2,4
380,2,7
381,2,5
382,2,33
383,2,22
384,2,10
385,2,10
386,2,2
387,2,19
388,2,6
389,2,1
390,2,4
391,2,4
392,2,1
393,2,5
394,2,4
395,2,10
396,2,6
397,2,9
398,2,5
399,2,3
400,2,6
401,2,8
402,2,3
403,2,3
404,2,2
405,2,35
406,2,5
407,2,4
408,2,1
409,2,1
410,2,18
411,2,33
412,2,1
413,2,1
414,2,8
415,2,7
416,2,5
417,2,8
418,2,1
419,2,9
420,2,1
421,2,3
422,2,5
423,2,7
424,2,3
425,2,4
426,2,23
427,2,9
428,2,11
429,2,6
430,2,21
431,2,17
432,2,4
433,2,10
434,2,1
435,2,16
436,2,5
437,2,1
438,2,7
439,2,14
440,2,8
441,2,4
442,2,4
443,2,3
444,2,6
445,2,9
446,2,15
447,2,9
448,2,9
449,2,11
450,2,3
451,2,6
452,2,3
453,2,10
454,2,9
455,2,2
456,2,24
457,2,8
458,2,5
459,2,4
460,2,3
461,2,1
462,2,2
463,2,33
464,2,1
465,2,18
466,2,12
467,2,2
468,2,7
469,2,2
470,2,4
471,2,19
472,2,7
473,2,6
474,2,3
475,2,3
476,2,30
477,2,20
478,2,23
479,2,10
480,2,14
481,2,8
482,2,17
483,2,6
484,2,1
485,2,27
486,2,21
487,2,6
488,2,2
489,2,16
490,2,1
491,2,3
492,2,6
493,2,3
494,2,26
495,2,5
496,2,1
497,2,20
498,2,37
499,2,10
500,2,21
501,2,12
502,2,29
503,2,32
504,2,20
505,2,8
506,2,9
507,2,10
508,2,3
509,2,8
510,2,8
511,2,35
512,2,32
513,2,15
514,2,21
515,2,1
516,2,1
517,2,2
518,2,12
519,2,12
520,2,18
521,2,17
522,2,32
523,2,15
524,2,7
525,2,17
526,2,19
527,2,10
528,2,4
529,2,24
530,2,5
531,2,36
532,2,7
533,2,10
534,2,1
535,2,31
536,2,29
537,2,7
538,2,6
539,2,20
540,2,22
541,2,1
542,2,22
543,2,1
544,2,5
545,2,31
546,2,23
547,2,10
548,2,9
549,2,17
550,2,16
551,2,6
552,2,12
553,2,6
554,2,11
555,2,15
556,2,6
557,2,2
558,2,7
559,2,20
560,2,6
561,2,17
562,2,33
563,2,3
564,2,28
565,2,34
566,2,25
567,2,30
568,2,28
569,2,13
570,2,7
571,2,4
572,2,16
573,2,28
574,2,5
575,2,6
576,2,17
577,2,19
578,2,10
579,2,36
580,2,1
581,2,33
582,2,8
583,2,5
584,2,20
585,2,5
586,2,5
587,2,20
588,2,17
589,2,1
590,2,5
591,2,6
592,2,31
593,2,13
594,2,1
595,2,2
596,2,1
597,2,6
598,2,2
599,2,8
600,2,7
601,2,16
602,2,14
603,2,4
604,2,2
605,2,5
606,2,2
607,2,2
608,2,5
609,2,12
610,2,2
611,2,4
612,2,2
613,2,9
614,2,1
615,2,4
616,2,4
617,2,2
618,2,1
619,2,13
620,2,1
621,2,6
622,2,4
623,2,4
624,2,1
625,2,1
626,2,9
627,2,34
628,2,6
629,2,16
630,2,6
631,2,9
632,2,4
633,2,2
634,2,8
635,2,15
636,2,2
637,2,10
638,2,7
639,2,7
640,2,31
641,2,13
642,2,3
643,2,23
644,2,15
645,2,11
646,2,23
647,2,23
648,2,4
649,2,34
650,2,5
651,2,11
652,2,13
653,2,7
654,2,18
655,2,7
656,2,28
657,2,1
658,2,6
659,2,32
660,2,11
661,2,10
662,2,25
663,2,10
664,2,19
665,2,4
666,2,6
667,2,6
668,2,2
669,2,6
670,2,1
671,2,8
672,2,7
673,2,8
674,2,6
675,2,5
676,2,11
677,2,2
678,2,16
679,2,14
680,2,9
681,2,28
682,2,15
683,2,10
684,2,3
685,2,29
686,2,10
687,2,15
688,2,21
689,2,6
690,2,5
691,2,10
692,2,3
693,2,32
694,2,14
695,2,21
696,2,32
697,2,27
698,2,33
699,2,14
700,2,31
701,2,2
702,2,13
703,2,1
704,2,4
705,2,16
706,2,5
707,2,16
708,2,24
709,2,1
710,2,8
711,2,4
712,2,2
713,2,5
714,2,7
715,2,27
716,2,8
717,2,2
718,2,1
719,2,5
720,2,2
721,2,3
722,2,3
723,2,1
724,2,6
725,2,5
726,2,1
727,2,3
728,2,1
729,2,1
730,2,1
731,2,10
732,2,2
733,2,13
734,2,15
735,2,18
736,2,8
737,2,1
738,2,13
739,2,9
740,2,21
741,2,4
742,2,1
743,2,6
744,2,1
745,2,6
746,2,28
747,2,1
748,2,7
749,2,14
750,2,9
751,2,4
752,2,5
753,2,8
754,2,5
755,2,10
756,2,9
757,2,1
758,2,2
759,2,1
760,2,2
761,2,3
762,2,4
763,2,9
764,2,16
765,2,1
766,2,1
767,2,10
768,2,11
769,2,5
770,2,3
771,2,12
772,2,8
773,2,7
774,2,3
775,2,1
776,2,2
777,2,1
778,2,2
779,2,3
780,2,2
781,2,3
782,2,28
783,2,3
784,2,8
785,2,3
786,2,9
787,2,1
788,2,2
789,2,14
790,2,10
791,2,6
792,2,7
793,2,3
794,2,6
795,2,1
796,2,4
797,2,3
798,2,1
799,2,12
800,2,8
801,2,8
802,2,12
803,2,1
804,2,4
805,2,10
806,2,5
807,2,33
808,2,6
809,2,15
810,2,16
811,2,9
812,2,5
813,2,1
814,2,4
815,2,7
816,2,22
817,2,11
818,2,15
819,2,13
820,2,15
821,2,5
822,2,1
823,2,4
824,2,4
825,2,2
826,2,1
827,2,1
828,2,1
829,2,2
830,2,3
831,2,14
832,2,7
833,2,1
834,2,10
835,2,2
836,2,1
837,2,4
838,2,8
839,2,14
840,2,8
841,2,20
842,2,4
843,2,5
844,2,4
845,2,8
846,2,1
847,2,13
848,2,5
849,2,3
850,2,8
851,2,4
852,2,1
853,2,1
854,2,7
855,2,1
856,2,9
857,2,7
858,2,26
859,2,10
860,2,10
861,2,8
862,2,3
863,2,25
864,2,6
865,2,1
866,2,1
867,2,3
868,2,7
869,2,4
870,2,13
871,2,1
872,2,6
873,2,10
874,2,20
875,2,27
876,2,2
877,2,4
878,2,6
879,2,5
880,2,8
881,2,1
882,2,16
883,2,4
884,2,4
885,2,1
886,2,11
887,2,7
888,2,7
889,2,4
890,2,24
891,2,1
892,2,30
893,2,17
894,2,1
895,2,2
